Electrolyte,FC,OC,FO,InOr,F,sF,aF,O,sO,aO,C,sC,aC,CE,LCE
"1. M LiFSI N,N-Diethyl-1,1,1-trifluoromethanesulfonamide",0.664,0.527,1.259,1.686,0.141,0.127,0.013,0.112,0.085,0.027,0.212,0.212,0,99,2
"1. M LiTFSI 1,3-dioxolane (	C3H6O2) 50.% + DME (C4H10O2) 50.%",0.14,0.654,0.215,0.865,0.035,0,0.035,0.163,0.139,0.023,0.249,0.237,0.012,99,2
1.2 M LiFSI Ethylene glycol diethyl ether,0.056,0.445,0.125,0.584,0.014,0,0.014,0.113,0.084,0.028,0.253,0.253,0,99,2
2. M LiFSI Butyl ether,0.085,0.295,0.288,0.507,0.022,0,0.022,0.078,0.033,0.045,0.263,0.263,0,99,2
1 M LiFSI DEE,0.047,0.427,0.11,0.544,0.012,0,0.012,0.109,0.085,0.024,0.256,0.256,0,99.04,2.018
0.8 M LiFSI Tetraethoxysilane,0.041,0.582,0.07,0.809,0.009,0,0.009,0.134,0.115,0.019,0.231,0.231,0,99.074,2.033
4M LiFSI DME,0.208,0.915,0.227,1.434,0.041,0,0.041,0.182,0.099,0.082,0.198,0.198,0,99.1,2.046
5 M LiFSI/EC-ETFEC (3:7 vol),0.649,1.252,0.518,2.285,0.135,0.082,0.054,0.261,0.154,0.107,0.209,0.209,0,99.1,2.046
2 M LiFSI 1 M LiTFSI 3wt% LiNO3 DOL-DME (1:1 v),0.234,0.874,0.268,1.33,0.052,0.021,0.031,0.192,0.165,0.028,0.22,0.21,0.01,99.1,2.046
LiFSI-1.4TEP-3TTE,1.111,0.538,2.063,1.838,0.259,0.239,0.02,0.125,0.086,0.04,0.233,0.233,0,99.1,2.046
4. M LiFSI DME (C4H10O2),0.208,0.915,0.227,1.434,0.041,0,0.041,0.182,0.099,0.082,0.198,0.198,0,99.1,2.046
"5. M LiFSI Ethylene carbonate 30.% + Ethyl 2,2,2-trifluoroethyl carbonate 70.%",0.649,1.249,0.519,2.281,0.136,0.082,0.053,0.261,0.154,0.107,0.209,0.209,0,99.1,2.046
1. M LiPF6 Fluoroethylene carbonate 50.% + DMC (C3H6O3) 50.%,0.335,1,0.335,1.361,0.087,0.046,0.041,0.26,0.26,0,0.26,0.26,0,99.1,2.046
2.54M LiFSI DME-BTFE (1:4 w/w),1.15,0.641,1.794,2.022,0.25,0.217,0.033,0.139,0.073,0.067,0.217,0.217,0,99.11,2.051
1M LiFSI DMC-BTFE (1:2 by mol),1.153,0.579,1.99,1.827,0.279,0.264,0.015,0.14,0.11,0.03,0.242,0.242,0,99.12,2.056
1.2M LiFSI TEP-BTFE (1:3 mol),1.075,0.538,1.997,1.78,0.249,0.232,0.017,0.125,0.09,0.035,0.232,0.232,0,99.2,2.097
5.5M LiFSI DMC,0.309,1.617,0.191,2.389,0.056,0,0.056,0.292,0.18,0.111,0.18,0.18,0,99.2,2.097
2M LiPF6 THF-MTHF (1:1 vol),0.243,0.225,1.08,0.508,0.068,0,0.068,0.063,0.063,0,0.282,0.282,0,99.2,2.097
1 M LiPF6 FEC-FEMC-D2 (2:6:2 wt),1.412,0.521,2.71,1.964,0.362,0.315,0.047,0.134,0.134,0,0.257,0.257,0,99.2,2.097
LiFSI-TEP 1:1 molar,0.333,1.333,0.25,2.333,0.056,0,0.056,0.222,0.111,0.111,0.167,0.167,0,99.2,2.097
10 M LiFSI DMC,0.561,2.122,0.264,3.526,0.082,0,0.082,0.312,0.147,0.165,0.147,0.147,0,99.2,2.097
12. M LiFSI DME (C4H10O2),0.623,1.746,0.357,3.303,0.088,0,0.088,0.245,0.07,0.175,0.141,0.141,0,99.2,2.097
5.5 M LiFSI DMC (C3H6O3),0.309,1.617,0.191,2.389,0.056,0,0.056,0.292,0.18,0.111,0.18,0.18,0,99.2,2.097
1.2 M LiFSI TEP (C6H15O4P) 25.% + Flurothyl 75.%,1.16,0.516,2.249,1.835,0.271,0.253,0.018,0.12,0.085,0.035,0.233,0.233,0,99.2,2.097
"1. M LiFSI 2,2-Dimetoxi-4-(trifluorometil)-1,3-dioxolano",0.551,0.768,0.717,1.395,0.14,0.128,0.013,0.196,0.17,0.026,0.255,0.255,0,99.2,2.097
4.5 M LiFSI/DME (1 : 1),0.234,0.967,0.242,1.551,0.045,0,0.045,0.187,0.097,0.09,0.193,0.193,0,99.22,2.108
0.9 M LiFSI + 0.1 M LIFOB DME (C4H10O2) 53.% + TTE (C5H4F8O) 47.%,0.742,0.479,1.549,1.299,0.182,0.168,0.014,0.117,0.09,0.027,0.245,0.244,0.001,99.23,2.114
0.8 M LiFSI Triethyl methyl orthosilicate,0.045,0.661,0.068,0.917,0.01,0,0.01,0.147,0.127,0.02,0.222,0.222,0,99.255,2.128
LiFSI DME-TTE (1:1.2:3),1.313,0.475,2.766,1.939,0.313,0.288,0.024,0.113,0.113,0.048,0.238,0.238,0,99.3,2.155
1M LiTFSI in FDMA/FEC (1:1 by vol),0.725,0.566,1.28,1.521,0.19,0.153,0.037,0.148,0.124,0.024,0.262,0.25,0.012,99.3,2.155
LiFSI-DME-FB (1:1.2:3 molar),0.219,0.281,0.781,0.632,0.077,0.046,0.031,0.098,0.037,0.061,0.35,0.35,0,99.3,2.155
LiFSI-TEP 1:1.5 molar,0.222,1.111,0.2,1.833,0.041,0,0.041,0.204,0.122,0.082,0.184,0.184,0,99.3,2.155
10 M LiFSI EC-DMC,0.496,1.993,0.249,3.233,0.081,0,0.081,0.326,0.164,0.162,0.164,0.164,0,99.3,2.155
1.33 M LiFSI DME-TTE (1:2 vol),0.552,0.555,0.994,1.216,0.13,0.113,0.017,0.131,0.097,0.034,0.236,0.236,0,99.3,2.155
LiFSI-2.2DMC-3TTE,1.204,0.63,1.912,1.972,0.288,0.265,0.022,0.15,0.106,0.044,0.239,0.239,0,99.3,2.155
1.2 M LiFSI F3DEE,0.564,0.462,1.221,1.123,0.141,0.125,0.016,0.116,0.084,0.032,0.251,0.251,0,99.3,2.155
1.2 M LiFSI F6DEE,1.065,0.463,2.302,1.624,0.267,0.251,0.016,0.116,0.084,0.032,0.251,0.251,0,99.3,2.155
10. M LiFSI Ethylene carbonate 50.% + DMC (C3H6O3) 50.%,0.496,1.993,0.249,3.233,0.081,0,0.081,0.326,0.164,0.162,0.164,0.164,0,99.3,2.155
1.2 M LiFSI DMC (C3H6O3) 25.% + Flurothyl 75.%,1.157,0.609,1.9,1.879,0.276,0.258,0.018,0.145,0.109,0.036,0.238,0.238,0,99.3,2.155
1.2 M LiFSI DMC (C3H6O3) 33.33% + Flurothyl 66.67%,1.024,0.673,1.521,1.808,0.243,0.225,0.018,0.16,0.125,0.035,0.237,0.237,0,99.3,2.155
"1.2 M LiFSI 1-(2,2,2-Trifluoroethoxy)-2-ethoxyethane",0.563,0.459,1.227,1.115,0.141,0.126,0.016,0.115,0.084,0.031,0.251,0.251,0,99.3,2.155
"1.2 M LiFSI 1,1,1-Trifluoro-2-[2-(2,2,2-trifluoroethoxy)ethoxy]ethane",1.07,0.472,2.264,1.646,0.266,0.249,0.017,0.118,0.083,0.035,0.249,0.249,0,99.3,2.155
1.5 M LiFSI Diethoxydimethylsilane,0.076,0.485,0.156,0.841,0.017,0,0.017,0.107,0.073,0.033,0.22,0.22,0,99.373,2.203
4 M LiFSI DEE,0.187,0.708,0.264,1.175,0.041,0,0.041,0.154,0.072,0.081,0.217,0.217,0,99.38,2.208
1.28M LiFSI FEC-FEMC-D2 ,1.437,0.615,2.338,2.174,0.35,0.331,0.02,0.15,0.11,0.04,0.244,0.244,0,99.4,2.222
1.2M LiTFSI 1M AN in FM,1.135,0.231,4.91,1.587,0.22,0.153,0.067,0.045,0,0.045,0.194,0.153,0.041,99.4,2.222
0.5M LiTFSI 0.5M THF CH3F,1,0.129,7.746,1.207,0.201,0.17,0.031,0.026,0,0.026,0.201,0.17,0.031,99.4,2.222
1 M LiFSI DME-FDMH (1:6 molar),0.964,0.384,2.513,1.431,0.252,0.238,0.015,0.1,0.071,0.029,0.262,0.262,0,99.4,2.222
LiFSI-1.2DME-3BTFE,1.19,0.56,2.128,1.929,0.27,0.243,0.027,0.127,0.073,0.054,0.226,0.226,0,99.4,2.222
1. M LiTFSI AN (CH3CN) 68.75% + Fluoromethane 31.25%,0.358,0.115,3.107,0.938,0.098,0.051,0.047,0.031,0,0.031,0.273,0.258,0.016,99.4,2.222
1. M LiFSI FDMB (C6H10F4O2),0.719,0.438,1.641,1.236,0.183,0.17,0.013,0.112,0.085,0.027,0.255,0.255,0,99.4,2.222
1.8 M LiFSI/DME (1 : 1) with HFME at 50% concentration,0.765,0.599,1.277,1.521,0.173,0.15,0.024,0.136,0.088,0.047,0.227,0.227,0,99.46,2.268
0.9 M LiFSI + 0.1 M LiTf DME (C4H10O2) 53.% + TTE (C5H4F8O) 47.%,0.747,0.478,1.564,1.303,0.183,0.168,0.014,0.117,0.09,0.026,0.244,0.244,0.001,99.48,2.284
1.8M LiFSI DEE-BTFE (1:4 w/w),1.037,0.466,2.227,1.665,0.242,0.217,0.025,0.109,0.058,0.05,0.233,0.233,0,99.5,2.301
1.2M LiFSI DMC-BTFE (1:2 mol),1.17,0.602,1.943,1.885,0.279,0.261,0.018,0.144,0.108,0.036,0.239,0.239,0,99.5,2.301
1M LiFSI DME-TFEO (1.2:3 mol),1.089,0.561,1.941,1.738,0.268,0.253,0.015,0.138,0.109,0.029,0.246,0.246,0,99.5,2.301
1.7 M LiFSI MeTHF-TTE (1:1 vol),0.722,0.365,1.98,1.21,0.191,0.17,0.022,0.097,0.053,0.044,0.265,0.265,0,99.5,2.301
LiFSI-1DME-3TTE,1.368,0.474,2.889,2,0.325,0.3,0.025,0.113,0.063,0.05,0.238,0.238,0,99.5,2.301
LiFSI-1.2DME-3TFEO,1.124,0.597,1.883,1.837,0.271,0.252,0.019,0.144,0.106,0.037,0.241,0.241,0,99.5,2.301
1.2 M LiFSI F4DEE,0.728,0.456,1.596,1.276,0.183,0.168,0.015,0.115,0.084,0.031,0.252,0.252,0,99.5,2.301
1.2 M LiFSI F5DEE,0.898,0.462,1.942,1.457,0.225,0.209,0.016,0.116,0.084,0.032,0.251,0.251,0,99.5,2.301
2.5 M LiFSI DMC (C3H6O3) 25.% + Flurothyl 75.%,1.238,0.772,1.605,2.245,0.269,0.235,0.034,0.168,0.1,0.068,0.217,0.217,0,99.5,2.301
"1. M LiFSI DME (C4H10O2) 16.67% + 2-[Bis(2,2,2-trifluoroethoxy)methoxy]-1,1,1-trifluoroethane 83.33%",1.105,0.557,1.983,1.749,0.272,0.258,0.014,0.137,0.109,0.028,0.247,0.247,0,99.5,2.301
1. M LiFSI FDMB (C6H10F4O2),0.719,0.438,1.641,1.236,0.183,0.17,0.013,0.112,0.085,0.027,0.255,0.255,0,99.5,2.301
2.5 M LiFSI DMC (C3H6O3) 50.% + Flurothyl 50.%,0.846,0.954,0.886,2.025,0.182,0.15,0.032,0.206,0.141,0.065,0.216,0.216,0,99.5,2.301
"1.2 M LiFSI 2-[2-(2,2-Difluoroethoxy)ethoxy]-1,1-difluoroethane",0.73,0.46,1.587,1.285,0.183,0.167,0.016,0.115,0.084,0.032,0.251,0.251,0,99.5,2.301
1.2 M LiFSI 1-Difluoroethoxy-2-Trifluoroethoxyethane,0.895,0.457,1.96,1.444,0.225,0.21,0.016,0.115,0.084,0.031,0.252,0.252,0,99.5,2.301
1. M LiFSI FDMB (C6H10F4O2),0.719,0.438,1.641,1.236,0.183,0.17,0.013,0.112,0.085,0.027,0.255,0.255,0,99.52,2.319
0.9 M LiFSI + 0.1 M LiPF6 DME (C4H10O2) 53.% + TTE (C5H4F8O) 47.%,0.758,0.471,1.61,1.306,0.185,0.168,0.016,0.115,0.09,0.024,0.244,0.244,0,99.53,2.328
7. M LiFSI Fluoroethylene carbonate,0.674,1.681,0.401,2.865,0.134,0.066,0.068,0.334,0.199,0.135,0.199,0.199,0,99.6,2.398
"2. M LiFSI + 1. M LiTFSI 1,3-dioxolane (	C3H6O2) 50.% + DME (C4H10O2) 50.%",0.234,0.841,0.278,1.286,0.052,0,0.052,0.187,0.125,0.063,0.223,0.212,0.01,99.6,2.398
0.9 M LiFSI + 0.1 M LiClO4 DME (C4H10O2) 53.% + TTE (C5H4F8O) 47.%,0.741,0.482,1.538,1.301,0.181,0.169,0.012,0.118,0.09,0.027,0.244,0.244,0,99.7,2.523
0.8 M LiFSI Dimethoxydimethylsilane,0.047,0.595,0.08,0.964,0.01,0,0.01,0.119,0.1,0.019,0.201,0.201,0,99.759,2.618
0.3 M LiTFSI THF (C4H8O) 2.44% + Fluoromethane 92.68% + Carbon dioxide 4.88%,0.953,0.162,5.864,1.157,0.195,0.178,0.017,0.033,0.022,0.011,0.204,0.199,0.006,99.9,3
1. M LiFSI DME (C4H10O2) 53.% + TTE (C5H4F8O) 47.%,0.746,0.482,1.549,1.312,0.182,0.168,0.014,0.117,0.09,0.027,0.244,0.244,0,99.94,3.222
0.9 M LiFSI + 0.1 M LiTFSI DME (C4H10O2) 53.% + TTE (C5H4F8O) 47.%,0.753,0.479,1.573,1.316,0.184,0.168,0.016,0.117,0.09,0.027,0.244,0.243,0.001,99.94,3.222
